Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;14;14;1189;13.2;0.08;1.44;0.3;21.1;0.05;0.25;19.1;0.08;0;0;25.3;33.8;74.9;323.3;91.7;14.5;17.7;82.4;6.36;8.26;77.1;1.14;2.95;38.5;0.15;2.05;2.05;0.53;0.15;2.12;33.8;30.5;3.26;0.76;0.23;0;0;3.18;1.89;0.83;0.83;0.08;0;0;0;0;0;0;0.3;0;25.3;0;0;0;1.06;3.86;2.65;0.53;0.23;0.15;0.23;0.08;0.38;0.23;0;0;0.08;0;0.08;1.82;0.45;0.61;0.98;0.23;0.61;1.82;33.3;1.21;0;0;0;0;0;0;0;1.59;0.08;1.52;0.08;1.89;0.38;0;46.5;0.38;4.55;20;22.9;2.58;46.5;1.44;4.09;35.2;0;0;0;0;0;0;0;0;2.42;3.11;31.8;4.85;0;0;0.15;0;0;0.61;2.12;0.23;3.18;0.45;0;0;0;5.15;0.45;1.29;26.1
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;15;15;1350;15;0;1;0;0;0;0;12;0;0;0;34.4;42.7;80.5;672.5;296.9;10.4;12.3;84.3;19.1;21.3;89.7;4.13;7.53;54.9;0;0.27;2.73;0.13;0;3.07;42.7;38.5;4;3.47;0;0;0.67;0.2;0;0;0;0;0;0;0;0;0;0;0.13;0;34.4;0.2;0;0;0.47;1.07;0.8;0;0;0.13;0;0.13;0.13;0.07;0;0;0.07;0;0;2.2;1.33;1.13;1.07;0;1;1.27;78.9;0.27;0;0;0;0;0;0;0;2;0.8;1.2;2.27;4.47;2.87;0;54.1;6;24.9;27;2.73;1.47;54.1;0.4;0.8;50;0;0;0;0;0;0;0;0;0.6;0.8;29.5;0.2;0;0;0.07;0;0;1.27;0.6;0.07;0.2;1.33;0;0;0;6.4;1.93;1.07;64.4
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;7;2;231;2.6;0;1.15;0.77;66.7;0;0;20.4;0;0;0;43.1;54.6;78.9;751.2;201.9;18.1;22.3;81;18.1;22.7;79.7;5.38;6.92;77.8;0;2.31;5.38;1.54;0;5.77;54.6;53.8;0.77;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38;0;43.1;0;0;0;1.15;3.46;2.69;0;0;0.38;0;0.38;0;0;0;0;0;0;0;1.92;0;0;1.92;0;1.15;1.15;100;0;0;0;0;0;0;0;0;0;0;0;1.15;3.08;0.77;0;69.2;1.15;9.62;42.3;18.8;2.31;69.2;1.92;5;38.5;0;0;0;0;0;0;0;0;3.46;1.54;51.9;6.15;0;0;0;0;0;1.15;2.31;0;0;0;0;0;0;6.54;0.77;1.54;33.3
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;15;15;1349;15;0.07;0.4;0.07;16.7;0.17;1;23.6;0;0;0;55.3;60.6;91.3;894.8;218.3;26.6;28.9;92.1;23.9;25.1;95;3.2;4.07;78.7;0;0.6;5.4;0.67;0.07;3.87;60.6;58.9;1.33;1.33;0.07;0;0.27;0.33;0;0;0;0;0;0;0;0;0;0;0;0;55.3;0.4;0;0;0.4;1.27;1.13;0;0;0;0;0.13;0;0;0;0;0;0;0;1.47;0.67;0.53;0.8;0.13;0.93;1.53;60.9;0.6;0;0;0;0;0;0;0;1.13;0.27;0.87;1.2;2.67;0.87;0;68.5;1.8;11.6;47.8;9.6;0.4;68.5;0.6;1.07;56.3;0;0;0;0;0;0;0;0;1.27;1.4;52.2;1.13;0;0;0.13;0;0;2.47;1.47;0;0.33;0.67;0;0;0.07;6.53;0.6;0.47;56.3
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;29;1993;10;10;807;9;0;0.44;0;0;0;0;23.9;0;0;0;37.7;42;89.7;612.6;225.9;17.6;18.6;94.6;15.1;16.9;89.5;3;3.89;77.1;0.11;0.78;3.67;0.22;0;3;42;41.1;0.78;0.78;0.33;0;0.22;0.22;0;0;0;0;0;0;0;0;0;0;0;0;37.7;0.11;0;0;0.33;1.44;1.22;0;0;0.11;0;0.11;0.11;0.11;0;0;0;0;0;3.56;1.89;2.56;1;0;1.11;3;37;1.89;0;0;0;0;0;0;0;1.33;0.22;1.11;1.33;4.89;1.11;0;52.8;3.11;19.4;29.6;4.44;0.22;52.8;0.44;0.89;50;0;0;0;0;0;0;0;0;1.11;0.67;35.2;0.22;0;0;0.22;0;0;0.78;1;0;0.22;1.89;0;0;0;5.67;0.22;0.22;50
6;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;10;0;105;1.2;0.83;5;1.67;33.3;0.17;0.5;12.2;0;0;0;5;11.7;42.9;91.7;22.5;2.5;5;50;1.67;2.5;66.7;0.83;0.83;100;0;1.67;0;0.83;0;0.83;11.7;11.7;0;0;0.83;0;0;1.67;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0.83;5.83;1.67;0;0;2.5;0.83;0.83;1.67;0;0;0;0;0.83;0.83;0.83;0.83;0;0;0.83;0.83;0.83;100;0;0;0;0;0;0;0;0;0.83;0;0.83;1.67;2.5;0.83;0;29.2;0.83;0.83;11.7;17.5;11.7;29.2;0;0;0;0;0;0;0;0;0;0;0;8.33;0;20;10;0;0;0;0;0;2.5;3.33;0.83;1.67;0.83;0.83;0;0;1.67;0.83;3.33;20
7;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;15;14;1170;13;0.23;2.77;0.92;33.3;0.08;0.25;18.5;0;0;0;16.9;24.7;68.5;211.6;51.5;11.2;14.5;77.7;4.15;5.77;72;0.23;0.69;33.3;0.23;0.54;0.77;0.38;0.08;1.08;24.7;23.8;0.69;0.08;0;0;0;1.15;0;0;0;0;0;0;0;0;0;0;0.62;0;16.9;0.15;0;0;1.77;2.15;1.23;0;0.23;0.31;0.38;0;0.15;0.08;0;0.08;0;0;0;0.85;0.62;0.38;0.23;0.23;0.31;1.23;25;0.92;0;0;0;0;0;0;0;0.62;0.08;0.54;0.77;1.62;0.46;0;36.4;0.85;5.23;13.3;18.5;4.77;36.4;1.15;3.08;37.5;0;0;0;0;0;0;0;0;2.77;1;26.4;7.23;0;0;0.15;0;0;1.46;1.54;0.54;1.15;0.62;0;0;0;4.46;0.31;1.23;20
8;Tammy Abraham;ENG;FW;Roma;Serie A;25;1997;15;12;1041;11.6;0.26;3.02;1.12;37.1;0.09;0.23;12.2;0;0;0;14.3;19.7;72.8;208.9;50.5;8.45;10;84.5;3.97;6.03;65.7;1.12;1.47;76.5;0.09;1.47;0.6;0.6;0.09;1.64;19.7;17.9;1.55;0.09;0.09;0;0.09;0.26;0;0;0;0;0;0;0;0;0;0;0.09;0;14.3;0.17;0;0;0.17;3.28;2.07;0;0.17;0.78;0.26;0;0.43;0.09;0;0;0.26;0.09;0;0.95;0.6;0.26;0.34;0.34;0.26;0.78;33.3;0.52;0;0;0;0;0;0;0;0.34;0.17;0.17;0.09;1.03;0.34;0;30.9;0.6;1.81;15.3;14.4;5.26;30.9;0.69;2.5;27.6;0;0;0;0;0;0;0;0;2.67;0.95;24.2;5.17;0;0;0;0;0;1.29;1.9;0.52;0.26;0.6;0.09;0;0;1.55;2.33;2.07;52.9
9;Francesco Acerbi;ITA;DF;Inter;Serie A;34;1988;9;7;660;7.3;0;0.41;0;0;0;0;22;0;0;0;59.7;67.7;88.3;1143.3;350.7;21.8;23.6;92.4;29.6;32.5;91.1;7.26;9.86;73.6;0.14;0.27;3.56;0.27;0;3.42;67.7;63.6;4.11;2.6;0;0;1.23;0.27;0;0;0;0;0;0;0;0;0;0;0.96;0;59.7;0;0;0;0;0.82;0.68;0;0;0;0;0.14;0;0;0;0;0;0;0;1.1;0.41;0.96;0.14;0;0.41;0.41;100;0;0;0;0;0;0;0;0;0.68;0.41;0.27;0.82;1.92;3.01;0;74.1;9.32;34;37;3.56;0.55;74.1;0;0.27;0;0;0;0;0;0;0;0;0;0.41;0.14;52.7;0.41;0;0;0.14;0;0;0.82;0.68;0;0.27;0.41;0;0;0;4.66;2.33;0.55;81
10;Mohamed Achi;FRA;FW;Nantes;Ligue 1;20;2002;2;0;36;0.4;0;2.5;0;0;0;0;26.1;0;0;0;45;52.5;85.7;685;190;17.5;17.5;100;25;30;83.3;0;2.5;0;0;2.5;2.5;0;0;2.5;52.5;50;2.5;0;0;0;0;2.5;2.5;0;2.5;0;0;0;0;0;0;0;0;0;45;0;0;0;0;2.5;2.5;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;2.5;0;0;2.5;2.5;100;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;62.5;0;10;27.5;25;0;62.5;0;2.5;0;0;0;0;0;0;0;0;0;0;2.5;47.5;5;0;0;0;0;0;5;0;0;2.5;2.5;0;0;0;5;0;0;0
