"","Squad","Country","LgRk","Pts.G","GF.90","xGF.90","GA.90","xGA.90","GD.90","xGD.90"
"1","Manchester City","ENG",1,2.45,2.60526315789474,2.34210526315789,0.684210526315789,0.715789473684211,1.92105263157895,1.63
"2","Liverpool","ENG",2,2.42,2.47368421052632,2.34736842105263,0.684210526315789,0.9,1.78947368421053,1.45
"3","Bayern Munich","GER",1,2.26,2.85294117647059,2.59117647058823,1.08823529411765,1.09117647058824,1.76470588235294,1.5
"4","Paris S-G","FRA",1,2.26,2.36842105263158,2.01315789473684,0.947368421052632,1.01578947368421,1.42105263157895,1
"5","Real Madrid","ESP",1,2.26,2.10526315789474,1.95526315789474,0.815789473684211,1.23684210526316,1.28947368421053,0.72
"6","Milan","ITA",1,2.26,1.81578947368421,1.66052631578947,0.815789473684211,0.91578947368421,1,0.74
"7","Inter","ITA",2,2.21,2.21052631578947,2.14210526315789,0.842105263157895,1.03157894736842,1.36842105263158,1.11
"8","Napoli","ITA",3,2.08,1.94736842105263,1.56315789473684,0.815789473684211,0.839473684210526,1.13157894736842,0.73
"9","Dortmund","GER",2,2.03,2.5,1.84705882352941,1.52941176470588,1.27058823529412,0.970588235294118,0.58
"10","Chelsea","ENG",3,1.95,2,1.76842105263158,0.868421052631579,0.947368421052632,1.13157894736842,0.82
"11","Barcelona","ESP",2,1.92,1.78947368421053,1.63421052631579,1,0.944736842105263,0.789473684210526,0.69
"12","Leverkusen","GER",3,1.88,2.35294117647059,1.86176470588235,1.38235294117647,1.26764705882353,0.970588235294118,0.59
"13","Tottenham","ENG",4,1.87,1.81578947368421,1.71315789473684,1.05263157894737,1.03684210526316,0.763157894736842,0.68
"14","Marseille","FRA",2,1.87,1.65789473684211,1.55789473684211,1,1.05263157894737,0.657894736842105,0.5
"15","Atlético Madrid","ESP",3,1.87,1.71052631578947,1.38947368421053,1.13157894736842,0.886842105263158,0.578947368421053,0.5
"16","Sevilla","ESP",4,1.84,1.39473684210526,1.15,0.789473684210526,1.01052631578947,0.605263157894737,0.14
"17","Juventus","ITA",4,1.84,1.5,1.35526315789474,0.973684210526316,1,0.526315789473684,0.35
"18","Monaco","FRA",3,1.82,1.71052631578947,1.52631578947368,1.05263157894737,1.10526315789474,0.657894736842105,0.42
"19","Arsenal","ENG",5,1.82,1.60526315789474,1.57631578947368,1.26315789473684,1.23947368421053,0.342105263157895,0.34
"20","Rennes","FRA",4,1.74,2.15789473684211,1.63947368421053,1.05263157894737,1.07105263157895,1.10526315789474,0.57
"21","Nice","FRA",5,1.74,1.36842105263158,1.5,0.947368421052632,1.18684210526316,0.421052631578947,0.31
"22","RB Leipzig","GER",4,1.71,2.11764705882353,1.86470588235294,1.08823529411765,1.22941176470588,1.02941176470588,0.64
"23","Betis","ESP",5,1.71,1.63157894736842,1.45,1.05263157894737,1.16315789473684,0.578947368421053,0.29
"24","Lazio","ITA",5,1.68,2.02631578947368,1.46842105263158,1.52631578947368,1.27105263157895,0.5,0.2
"25","Union Berlin","GER",5,1.68,1.47058823529412,1.48529411764706,1.29411764705882,1.22352941176471,0.176470588235294,0.26
"26","Strasbourg","FRA",6,1.66,1.57894736842105,1.56052631578947,1.13157894736842,1.12105263157895,0.447368421052632,0.44
"27","Roma","ITA",6,1.66,1.55263157894737,1.67631578947368,1.13157894736842,1.01315789473684,0.421052631578947,0.66
"28","Lens","FRA",7,1.63,1.63157894736842,1.38947368421053,1.26315789473684,1.11578947368421,0.368421052631579,0.27
"29","Fiorentina","ITA",7,1.63,1.55263157894737,1.54736842105263,1.34210526315789,1.16052631578947,0.210526315789474,0.39
"30","Real Sociedad","ESP",6,1.63,1.05263157894737,1.41578947368421,0.973684210526316,1.04736842105263,0.0789473684210525,0.37
"31","Freiburg","GER",6,1.62,1.70588235294118,1.46764705882353,1.35294117647059,1.32647058823529,0.352941176470588,0.14
"32","Lyon","FRA",8,1.61,1.73684210526316,1.85263157894737,1.34210526315789,1.43421052631579,0.394736842105263,0.42
"33","Villarreal","ESP",7,1.55,1.65789473684211,1.64473684210526,0.973684210526316,1.22368421052632,0.684210526315789,0.42
"34","Atalanta","ITA",8,1.55,1.71052631578947,1.74210526315789,1.26315789473684,1.18947368421053,0.447368421052632,0.55
"35","Köln","GER",7,1.53,1.52941176470588,1.49705882352941,1.44117647058824,1.52647058823529,0.088235294117647,-0.03
"36","Manchester Utd","ENG",6,1.53,1.5,1.44210526315789,1.5,1.43421052631579,0,0.01
"37","West Ham","ENG",7,1.47,1.57894736842105,1.31315789473684,1.34210526315789,1.34210526315789,0.236842105263158,-0.03
