"","Squad","Country","LgRk","GF_90","xGF_90","diff_GF","GA_90","xGA_90","diff_GA","GD_90","xGD_90","diff_GD"
"1","Manchester City","ENG",1,2.60526315789474,2.34210526315789,0.263157894736842,0.684210526315789,0.715789473684211,-0.031578947368421,1.92105263157895,1.63,0.291052631578947
"2","Liverpool","ENG",2,2.47368421052632,2.34736842105263,0.126315789473684,0.684210526315789,0.9,-0.215789473684211,1.78947368421053,1.45,0.339473684210527
"3","Bayern Munich","GER",1,2.85294117647059,2.59117647058823,0.261764705882353,1.08823529411765,1.09117647058824,-0.00294117647058845,1.76470588235294,1.5,0.264705882352941
"4","Paris S-G","FRA",1,2.36842105263158,2.01315789473684,0.355263157894737,0.947368421052632,1.01578947368421,-0.068421052631579,1.42105263157895,1,0.421052631578947
"5","Real Madrid","ESP",1,2.10526315789474,1.95526315789474,0.15,0.815789473684211,1.23684210526316,-0.421052631578947,1.28947368421053,0.72,0.569473684210526
"6","Milan","ITA",1,1.81578947368421,1.66052631578947,0.155263157894737,0.815789473684211,0.91578947368421,-0.1,1,0.74,0.26
"7","Inter","ITA",2,2.21052631578947,2.14210526315789,0.0684210526315789,0.842105263157895,1.03157894736842,-0.189473684210526,1.36842105263158,1.11,0.258421052631579
"8","Napoli","ITA",3,1.94736842105263,1.56315789473684,0.38421052631579,0.815789473684211,0.839473684210526,-0.0236842105263158,1.13157894736842,0.73,0.401578947368421
"9","Dortmund","GER",2,2.5,1.84705882352941,0.652941176470588,1.52941176470588,1.27058823529412,0.258823529411764,0.970588235294118,0.58,0.390588235294118
"10","Chelsea","ENG",3,2,1.76842105263158,0.231578947368421,0.868421052631579,0.947368421052632,-0.0789473684210525,1.13157894736842,0.82,0.311578947368421
"11","Barcelona","ESP",2,1.78947368421053,1.63421052631579,0.155263157894737,1,0.944736842105263,0.0552631578947369,0.789473684210526,0.69,0.0994736842105264
"12","Leverkusen","GER",3,2.35294117647059,1.86176470588235,0.491176470588236,1.38235294117647,1.26764705882353,0.114705882352941,0.970588235294118,0.59,0.380588235294118
"13","Tottenham","ENG",4,1.81578947368421,1.71315789473684,0.102631578947369,1.05263157894737,1.03684210526316,0.0157894736842106,0.763157894736842,0.68,0.0831578947368422
"14","Marseille","FRA",2,1.65789473684211,1.55789473684211,0.0999999999999999,1,1.05263157894737,-0.0526315789473684,0.657894736842105,0.5,0.157894736842105
"15","Atlético Madrid","ESP",3,1.71052631578947,1.38947368421053,0.321052631578947,1.13157894736842,0.886842105263158,0.244736842105263,0.578947368421053,0.5,0.0789473684210527
